study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,14-21 days,IFA/BEP,down,Ammonia Recycling,7,1.39,2,0.421,1,-1.4388489208633095
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,up,Methionine Metabolism,9,0.509,1,0.421,1,1.9646365422396856
Mumta-LW,2 mo.,BEP+ExBf,down,Methionine Metabolism,9,0.509,1,0.421,1,-1.9646365422396856
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Arginine and Proline Metabolism,9,0.509,1,0.421,1,-1.9646365422396856
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Methionine Metabolism,9,0.509,1,0.421,1,-1.9646365422396856
ELICIT,1 mo.,Nico,up,Arginine and Proline Metabolism,9,0.509,1,0.421,1,1.9646365422396856
ELICIT,1 mo.,Nico,up,Methionine Metabolism,9,0.509,1,0.421,1,1.9646365422396856
MISAME-III,3-4 mo.,BEP/BEP,down,Spermidine and Spermine Biosynthesis,5,0.519,1,0.428,1,-1.9267822736030829
MISAME-III,1-2 mo.,BEP/BEP,up,Glutamate Metabolism,8,0.528,1,0.432,1,1.8939393939393938
Mumta-LW,2 mo.,BEP+ExBf,up,Glutamate Metabolism,8,0.528,1,0.432,1,1.8939393939393938
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Glutamate Metabolism,8,0.528,1,0.432,1,1.8939393939393938
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Warburg Effect,4,0.528,1,0.438,1,-1.8939393939393938
MISAME-III,1-2 mo.,BEP/IFA,down,Arginine and Proline Metabolism,9,1.44,2,0.441,1,-1.3888888888888888
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Glycine and Serine Metabolism,11,1.45,2,0.444,1,-1.3793103448275863
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Bile Acid Biosynthesis,10,0.566,1,0.457,1,-1.76678445229682
ELICIT,1 mo.,Az.,down,Spermidine and Spermine Biosynthesis,5,0.566,1,0.458,1,-1.76678445229682
ELICIT,5 mo.,Nico,down,Methionine Metabolism,9,0.594,1,0.473,1,-1.6835016835016836
ELICIT,1 mo.,Nico,down,Glutamate Metabolism,8,0.604,1,0.478,1,-1.6556291390728477
Mumta-LW,1.5 mo.,BEP+ExBf,up,Glutathione Metabolism,4,0.604,1,0.486,1,1.6556291390728477
Mumta-LW,1.5 mo.,BEP+ExBf,up,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.604,1,0.486,1,1.6556291390728477
Mumta-LW,1.5 mo.,BEP+ExBf,up,Warburg Effect,4,0.604,1,0.486,1,1.6556291390728477
ELICIT,1 mo.,Nico+Az.,down,Purine Metabolism,5,0.613,1,0.487,1,-1.6313213703099512
MISAME-III,14-21 days,IFA/BEP,down,Sphingolipid Metabolism,3,0.594,1,0.488,1,-1.6835016835016836
MISAME-III,14-21 days,IFA/BEP,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.594,1,0.488,1,-1.6835016835016836
MISAME-III,14-21 days,IFA/BEP,down,Alanine Metabolism,3,0.594,1,0.488,1,-1.6835016835016836
MISAME-III,14-21 days,IFA/BEP,down,Betaine Metabolism,3,0.594,1,0.488,1,-1.6835016835016836
MISAME-III,14-21 days,IFA/BEP,down,Homocysteine Degradation,3,0.594,1,0.488,1,-1.6835016835016836
MISAME-III,14-21 days,IFA/BEP,down,Fatty Acid Biosynthesis,3,0.594,1,0.488,1,-1.6835016835016836
MISAME-III,1-2 mo.,BEP/BEP,down,Sphingolipid Metabolism,3,0.594,1,0.488,1,-1.6835016835016836
MISAME-III,1-2 mo.,BEP/BEP,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.594,1,0.488,1,-1.6835016835016836
MISAME-III,1-2 mo.,BEP/BEP,down,Betaine Metabolism,3,0.594,1,0.488,1,-1.6835016835016836
MISAME-III,1-2 mo.,BEP/BEP,down,Homocysteine Degradation,3,0.594,1,0.488,1,-1.6835016835016836
MISAME-III,1-2 mo.,BEP/BEP,down,Fatty Acid Biosynthesis,3,0.594,1,0.488,1,-1.6835016835016836
MISAME-III,1-2 mo.,BEP/BEP,down,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.594,1,0.488,1,-1.6835016835016836
Mumta-LW,2 mo.,BEP+ExBf,down,Glycine and Serine Metabolism,11,0.623,1,0.491,1,-1.6051364365971108
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Glycine and Serine Metabolism,11,0.623,1,0.491,1,-1.6051364365971108
ELICIT,1 mo.,Nico,up,Glycine and Serine Metabolism,11,0.623,1,0.491,1,1.6051364365971108
MISAME-III,1-2 mo.,BEP/IFA,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.642,1,0.508,1,-1.557632398753894
MISAME-III,1-2 mo.,BEP/IFA,down,Oxidation of Branched Chain Fatty Acids,4,0.642,1,0.508,1,-1.557632398753894
MISAME-III,1-2 mo.,BEP/IFA,down,Tryptophan Metabolism,4,0.642,1,0.508,1,-1.557632398753894
