"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"632","PN_BF_6","pn_bf_6",935,"Currently breatfeeding","MISAME3_WIDE","Post Natal FU M06","BFEDFL",NA,NA,275,"yes"
"640","PN_BF_FREQ_6","pn_bf_freq_6",936,"Frequency of breastfeeding","MISAME3_WIDE","Post Natal FU M06","NUMBF",NA,NA,275,"no"
"633","PN_BF_9","pn_bf_9",937,"Currently breatfeeding","MISAME3_WIDE","Post Natal FU M09","BFEDFL",NA,NA,168,"yes"
"641","PN_BF_FREQ_9","pn_bf_freq_9",938,"Frequency of breastfeeding","MISAME3_WIDE","Post Natal FU M09","NUMBF",NA,NA,168,"no"
"627","PN_BF_12","pn_bf_12",939,"Currently breatfeeding","MISAME3_WIDE","Post Natal FU M12","BFEDFL",NA,NA,0,"missing"
"635","PN_BF_FREQ_12","pn_bf_freq_12",940,"Frequency of breastfeeding","MISAME3_WIDE","Post Natal FU M12","NUMBF",NA,NA,0,"missing"
"929","PN_EVER_BF_","pn_ever_bf_",941,"Infant ever breastfed","MISAME3_WIDE","Post Natal FU M12","FEEDING, FEEDINGN",NA,NA,289,"yes"
"945","PN_GRAINS_9","pn_grains_9",942,"Has the child eaten cereal-based preparations?","MISAME3_WIDE","Post Natal FU M09","GFSTRESC, GFSTRESN","CEREAL","Child",130,"no"
"944","PN_GRAINS_12","pn_grains_12",943,"Has the child eaten cereal-based preparations?","MISAME3_WIDE","Post Natal FU M12","GFSTRESC, GFSTRESN","CEREAL","Child",0,"missing"
"1277","PN_VEGVITA_9","pn_vegvitA_9",944,"Has the child eaten vegetables rich in vitamin A?","MISAME3_WIDE","Post Natal FU M09","GFSTRESC, GFSTRESN","VITAVEG","Child",130,"no"
"1276","PN_VEGVITA_12","pn_vegvitA_12",945,"Has the child eaten vegetables rich in vitamin A?","MISAME3_WIDE","Post Natal FU M12","GFSTRESC, GFSTRESN","VITAVEG","Child",0,"missing"
"1275","PN_TUBERS_9","pn_tubers_9",946,"Has the child eaten tubers?","MISAME3_WIDE","Post Natal FU M09","GFSTRESC, GFSTRESN","TUBERS","Child",130,"no"
"1274","PN_TUBERS_12","pn_tubers_12",947,"Has the child eaten tubers?","MISAME3_WIDE","Post Natal FU M12","GFSTRESC, GFSTRESN","TUBERS","Child",0,"missing"
"885","PN_DGLV_9","pn_dglv_9",948,"Has the child eaten Dark green leafy vegetables?","MISAME3_WIDE","Post Natal FU M09","GFSTRESC, GFSTRESN","VEG_LEAF","Child",130,"no"
"884","PN_DGLV_12","pn_dglv_12",949,"Has the child eaten Dark green leafy vegetables?","MISAME3_WIDE","Post Natal FU M12","GFSTRESC, GFSTRESN","VEG_LEAF","Child",0,"missing"
"943","PN_FRUITVITA_9","pn_fruitvitA_9",950,"Has the child eaten fruit rich in vitamin A?","MISAME3_WIDE","Post Natal FU M09","GFSTRESC, GFSTRESN","VITAFRUI","Child",130,"no"
