"","VARNAME","variable_original","seq_original","label_original","MEMNAME","VISIT_ddf","TARGETVR_ddf","TESTCD_ddf","RELTIVE_ddf","N_ddf","Matched_Full"
"122","IRS_RAN_SUBGROUP_ANTI","IRS_RAN_SUBGROUP_ANTI",14,"Antibiotic Arm","ELICIT_METADATA_IMIC_042021",NA,"ARM,ARMCD,EXTRT",NA,"Child",200,"no"
"73","CEF_TRIBAL_GROUP","CEF_TRIBAL_GROUP",15,"What tribal group is the mother a member of?","ELICIT_METADATA_IMIC_042021",NA,"MTRIBE",NA,NA,200,"yes"
"62","CEF_NBR_CHILDREN","CEF_NBR_CHILDREN",16,"How many children does the mother have?","ELICIT_METADATA_IMIC_042021",NA,"LVBRTHHX,NLCHILD",NA,NA,200,"yes"
"60","CEF_MOTHER_AGE_FIRSTCHILD","CEF_MOTHER_AGE_FIRSTCHILD",17,"How old was the mother when she had her first child?","ELICIT_METADATA_IMIC_042021",NA,"MAGE1ST",NA,NA,200,"yes"
"61","CEF_MOTHER_SCHOOL_YEARS","CEF_MOTHER_SCHOOL_YEARS",18,"How many total years of school did the mother attend?","ELICIT_METADATA_IMIC_042021",NA,"MEDUCYRS",NA,NA,200,"yes"
"67","CEF_ROOMS","CEF_ROOMS",19,"How many rooms do they have in the house?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESN","NROOMS",NA,200,"no"
"63","CEF_NBR_PEOPLE_INHOME","CEF_NBR_PEOPLE_INHOME",20,"How many people live in this household?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESN","NPERSON",NA,200,"no"
"58","CEF_MAIN_SRC_DRINKING","CEF_MAIN_SRC_DRINKING",21,"What is the main source of drinking water for members of the household?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESC","H2OSRCP",NA,200,"no"
"74","CEF_WALK_10MINS_PRIM_WATERSRC","CEF_WALK_10MINS_PRIM_WATERSRC",22,"Do they have to walk more than 10 minutes to get to the primary water source?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESC","H2OTIME",NA,200,"no"
"71","CEF_TREAT_WATER","CEF_TREAT_WATER",23,"Do they treat their water in any way to make it safer to drink?  If no, proceed to question 17.","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESC","H2OTRTP",NA,200,"no"
"72","CEF_TREAT_WATER_HOW","CEF_TREAT_WATER_HOW",24,"What does the family usually   do to the water to make it safer to   drink?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESC","H2OTRTP",NA,200,"no"
"70","CEF_TOILET","CEF_TOILET",25,"What kind of toilet facility do members of the family usually use?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESC","SANITATN",NA,200,"no"
"57","CEF_HAVE_MATTRESS","CEF_HAVE_MATTRESS",26,"Does the household have a mattress?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESN","MATTRESS",NA,200,"no"
"65","CEF_OWN_TABLE","CEF_OWN_TABLE",27,"Does the household own a table?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESN","TABLE",NA,200,"no"
"64","CEF_OWN_CHAIR_OR_BENCH","CEF_OWN_CHAIR_OR_BENCH",28,"Does the household own a chair or bench?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESN","CHAIR",NA,200,"no"
"68","CEF_SEPARATE_KITCHEN","CEF_SEPARATE_KITCHEN",29,"Does the household have a separate room which is used as a kitchen?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESC","COOKPLAC",NA,200,"no"
"66","CEF_REFRIGERATOR","CEF_REFRIGERATOR",30,"Does the household own a refrigerator?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESN","FRIG",NA,200,"no"
"69","CEF_TELEVISION","CEF_TELEVISION",31,"Does the household own a television?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESN","TV",NA,200,"no"
"59","CEF_MOBILE_TELEPHONE","CEF_MOBILE_TELEPHONE",32,"Does the household own a mobile telephone?","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESN","MOBILE",NA,200,"no"
"56","CEF_BANK_ACCOUNT","CEF_BANK_ACCOUNT",33,"Does the household have a bank account?","ELICIT_METADATA_IMIC_042021",NA,NA,NA,NA,200,"missing"
"55","CEF_AVG_MTHLY_INCOME","CEF_AVG_MTHLY_INCOME",34,"What is the average monthly income for the entire household? in.usd=income in US dollars","ELICIT_METADATA_IMIC_042021","Enrolment Visit","SSSTRESN","INCTOT",NA,200,"no"
"119","IN_USD","IN_USD",35,"in.usd","ELICIT_METADATA_IMIC_042021",NA,NA,NA,NA,200,"missing"
"120","INCAT","INCAT",36,"income in US dollars in noniles","ELICIT_METADATA_IMIC_042021",NA,NA,NA,NA,200,"missing"
"113","IMPSAN","IMPSAN",37,"Score of sanitation; 0 for unimproved categories, 4 for improved categories","ELICIT_METADATA_IMIC_042021","Enrolment Visit","GFSTRESN,GFSTRESC","SCRSANIT",NA,200,"no"
"153","NEWDRINK","NEWDRINK",38,"Score of drinking water source; 0  for unimproved categories, 4 for improved categories","ELICIT_METADATA_IMIC_042021","Enrolment Visit","GFSTRESN,GFSTRESC","SCRDRKWT",NA,200,"no"
"38","ASSET","ASSET",39,"sum of 8 assets scores. Household has: mattress,chair,table,tv,refrigertaor,bank account,kitchen, 
< 2 people per room. Positive reponses for each of these get a score of 1 while negative responses g","ELICIT_METADATA_IMIC_042021","Enrolment Visit","GFSTRESN","SCRASSET",NA,200,"no"
"196","WATER","WATER",40,"sum of impsan and newdrink","ELICIT_METADATA_IMIC_042021","Enrolment Visit","GFSTRESN","SUMIMPDR",NA,200,"no"
"194","WAMI","WAMI",41,"The wami is calculated by summing values of the following variables:
water, med.wami,
 asset, 
incat, 
and dividing the total by 32","ELICIT_METADATA_IMIC_042021","Enrolment Visit","GFSTRESN","SCRWAMI",NA,200,"no"
"178","SES","SES",42,"WAMI quartiles, 4 is highest SES","ELICIT_METADATA_IMIC_042021","Enrolment Visit","GFSTRESN","WAMIQUAR",NA,200,"no"
